TEAM_NAME,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,FG2M,FG2A,FG2_PCT,OUTCOME,DEFICIT_FGM,DEFICIT_FGA,DEFICIT_FG3M,DEFICIT_FG3A,DEFICIT_FTM,DEFICIT_FTA,DEFICIT_OREB,DEFICIT_DREB,DEFICIT_REB,DEFICIT_AST,DEFICIT_STL,DEFICIT_BLK,DEFICIT_TO,DEFICIT_PF,DEFICIT_FG2M,DEFICIT_FG2A
Spurs,9,29,0.31,8,12,0.667,8,26,34,26,3,4,7,17,93,29,67,0.432835821,0,0.506666667,0.561403509,0.6,0.707317073,0.275862069,0.333333333,0.5,0.393939394,0.414634146,0.565217391,0.428571429,0.363636364,0.318181818,0.548387097,0.483333333,0.515384615
Suns,7,20,0.35,20,27,0.741,9,25,34,23,10,2,11,20,107,33,56,0.589285714,1,0.526315789,0.481012658,0.35,0.363636364,0.571428571,0.574468085,0.36,0.490196078,0.447368421,0.58974359,0.588235294,0.666666667,0.366666667,0.487804878,0.589285714,0.54368932
Cavaliers,13,35,0.371,15,20,0.75,16,26,42,16,7,1,19,21,100,23,47,0.489361702,0,0.473684211,0.518987342,0.65,0.636363636,0.428571429,0.425531915,0.64,0.509803922,0.552631579,0.41025641,0.411764706,0.333333333,0.633333333,0.512195122,0.410714286,0.45631068
Jazz,7,21,0.333,20,24,0.833,11,33,44,14,7,7,15,18,105,32,60,0.533333333,0,0.458823529,0.470930233,0.35,0.456521739,0.64516129,0.648648649,0.647058824,0.568965517,0.586666667,0.304347826,0.411764706,0.583333333,0.625,0.529411765,0.492307692,0.476190476
Warriors,13,25,0.52,11,13,0.846,6,25,31,32,10,5,9,16,116,33,66,0.5,1,0.541176471,0.529069767,0.65,0.543478261,0.35483871,0.351351351,0.352941176,0.431034483,0.413333333,0.695652174,0.588235294,0.416666667,0.375,0.470588235,0.507692308,0.523809524
Kings,1,18,0.056,27,34,0.794,12,47,59,22,7,2,20,26,104,37,68,0.544117647,0,0.469135802,0.462365591,0.142857143,0.428571429,0.627906977,0.596491228,0.5,0.594936709,0.572815534,0.488888889,0.368421053,0.333333333,0.666666667,0.509803922,0.5,0.472222222
Mavericks,6,24,0.25,16,23,0.696,12,32,44,23,12,4,10,25,108,37,76,0.486842105,1,0.530864198,0.537634409,0.857142857,0.571428571,0.372093023,0.403508772,0.5,0.405063291,0.427184466,0.511111111,0.631578947,0.666666667,0.333333333,0.490196078,0.5,0.527777778
Heat,2,16,0.125,10,15,0.667,9,43,52,23,7,11,18,16,78,31,62,0.5,1,0.532258065,0.458823529,0.333333333,0.41025641,0.434782609,0.454545455,0.409090909,0.565789474,0.530612245,0.534883721,0.411764706,0.785714286,0.6,0.533333333,0.553571429,0.473282443
Lakers,4,23,0.174,13,18,0.722,13,33,46,20,10,3,12,14,75,25,69,0.362318841,0,0.467741935,0.541176471,0.666666667,0.58974359,0.565217391,0.545454545,0.590909091,0.434210526,0.469387755,0.465116279,0.588235294,0.214285714,0.4,0.466666667,0.446428571,0.526717557
Spurs,8,21,0.381,16,20,0.8,6,36,42,27,7,11,12,27,98,29,64,0.453125,1,0.528571429,0.497076023,0.666666667,0.617647059,0.41025641,0.363636364,0.285714286,0.52173913,0.466666667,0.642857143,0.636363636,0.523809524,0.545454545,0.6,0.5,0.467153285
Hornets,4,13,0.308,23,35,0.657,15,33,48,15,4,10,10,18,93,29,73,0.397260274,0,0.471428571,0.502923977,0.333333333,0.382352941,0.58974359,0.636363636,0.714285714,0.47826087,0.533333333,0.357142857,0.363636364,0.476190476,0.454545455,0.4,0.5,0.532846715
Magic,9,26,0.346,23,26,0.885,10,29,39,22,14,1,15,19,120,35,64,0.546875,1,0.511627907,0.520231214,0.5,0.5,0.534883721,0.530612245,0.5,0.50877193,0.506493506,0.458333333,0.56,0.142857143,0.428571429,0.5,0.514705882,0.52892562
Rockets,9,26,0.346,20,23,0.87,10,28,38,26,11,6,20,19,113,33,57,0.578947368,0,0.488372093,0.479768786,0.5,0.5,0.465116279,0.469387755,0.5,0.49122807,0.493506494,0.541666667,0.44,0.857142857,0.571428571,0.5,0.485294118,0.47107438
Grizzlies,3,17,0.176,22,29,0.759,14,27,41,18,13,3,9,19,103,36,66,0.545454545,1,0.52,0.525316456,0.230769231,0.395348837,0.6875,0.707317073,0.7,0.473684211,0.532467532,0.486486486,0.722222222,0.75,0.333333333,0.431818182,0.580645161,0.573913043
Nets,10,26,0.385,10,12,0.833,6,30,36,19,5,1,18,25,92,26,49,0.530612245,0,0.48,0.474683544,0.769230769,0.604651163,0.3125,0.292682927,0.3,0.526315789,0.467532468,0.513513514,0.277777778,0.25,0.666666667,0.568181818,0.419354839,0.426086957
Pelicans,8,21,0.381,19,23,0.826,11,36,47,23,4,7,12,18,105,31,59,0.525423729,1,0.534246575,0.522875817,0.5,0.488372093,0.513513514,0.5,0.785714286,0.571428571,0.61038961,0.5,0.333333333,0.411764706,0.631578947,0.529411765,0.543859649,0.536363636
Pistons,8,22,0.364,18,23,0.783,3,27,30,23,8,10,7,16,94,26,51,0.509803922,0,0.465753425,0.477124183,0.5,0.511627907,0.486486486,0.5,0.214285714,0.428571429,0.38961039,0.5,0.666666667,0.588235294,0.368421053,0.470588235,0.456140351,0.463636364
Raptors,10,29,0.345,14,22,0.636,10,39,49,26,7,2,17,24,100,28,53,0.528301887,1,0.550724638,0.50617284,0.769230769,0.604166667,0.424242424,0.41509434,0.476190476,0.534246575,0.521276596,0.666666667,0.411764706,0.2,0.586206897,0.52173913,0.5,0.464912281
76ers,3,19,0.158,19,31,0.613,11,34,45,13,10,8,12,22,84,28,61,0.459016393,0,0.449275362,0.49382716,0.230769231,0.395833333,0.575757576,0.58490566,0.523809524,0.465753425,0.478723404,0.333333333,0.588235294,0.8,0.413793103,0.47826087,0.5,0.535087719
Wizards,5,15,0.333,20,25,0.8,10,33,43,29,4,4,15,24,105,35,63,0.555555556,1,0.540540541,0.496815287,0.277777778,0.357142857,0.526315789,0.510204082,0.555555556,0.568965517,0.565789474,0.617021277,0.285714286,0.444444444,0.555555556,0.533333333,0.625,0.547826087
Bulls,13,27,0.481,18,24,0.75,8,25,33,18,10,5,12,21,99,21,52,0.403846154,0,0.459459459,0.503184713,0.722222222,0.642857143,0.473684211,0.489795918,0.444444444,0.431034483,0.434210526,0.382978723,0.714285714,0.555555556,0.444444444,0.466666667,0.375,0.452173913
Celtics,11,33,0.333,12,14,0.857,13,27,40,22,5,2,16,23,91,23,50,0.46,0,0.485714286,0.532051282,0.523809524,0.532258065,0.342857143,0.341463415,0.684210526,0.482142857,0.533333333,0.488888889,0.277777778,0.222222222,0.571428571,0.657142857,0.469387755,0.531914894
Hawks,10,29,0.345,23,27,0.852,6,29,35,23,13,7,12,12,105,26,44,0.590909091,1,0.514285714,0.467948718,0.476190476,0.467741935,0.657142857,0.658536585,0.315789474,0.517857143,0.466666667,0.511111111,0.722222222,0.777777778,0.428571429,0.342857143,0.530612245,0.468085106
